OBJECTID	VALUE	VALUE_21	VALUE_22	VALUE_23	VALUE_31	VALUE_32	VALUE_33	VALUE_41	VALUE_42	VALUE_46	VALUE_51	VALUE_52	VALUE_53	VALUE_61	VALUE_63	VALUE_64	VALUE_66	VALUE_121	VALUE_122	VALUE_123
1	12	1	0	0	58	85	8000000	0	0	0	0	1000000	0	0	0	2000000	1000000	8000000	5000000	93000000
2	21	2470	2	0	0	7	4000000	0	0	0	0	0	0	0	0	0	0	0	0	3000000
3	22	0	1048	0	4	7	0	0	0	0	0	0	0	0	1000000	0	0	4000000	0	31000000
4	23	5	0	275	9	6	0	0	0	0	0	0	0	0	0	1000000	0	12000000	0	50000000
5	24	18	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1000000
6	31	3	2	0	5680	53	5000000	0	8000000	0	0	1000000	2000000	5000000	23000000	40000000	0	5000000	0	30000000
7	32	2	9	3	17	18354	26000000	1000000	4000000	0	20000000	0	2000000	11000000	19000000	15000000	2000000	28000000	8000000	94000000
8	33	0	0	0	0	0	4814000000	0	0	0	0	0	0	0	0	44000000	0	0	0	2000000
9	41	0	0	0	0	0	0	23000000	0	0	0	0	0	0	0	0	0	0	0	0
10	42	0	0	0	0	35	0	0	2384000000	0	0	0	0	0	0	0	0	0	0	0
11	46	0	0	0	0	0	0	0	0	4000000	0	0	0	0	0	0	0	0	0	0
12	51	0	0	0	0	0	0	0	0	0	34000000	0	0	0	0	0	0	0	0	0
13	52	0	0	0	0	0	0	0	0	0	0	25000000	0	0	0	0	0	0	0	0
14	53	0	0	0	0	0	0	0	0	0	0	0	12000000	0	0	0	0	0	0	0
15	61	0	0	0	0	0	0	0	0	0	0	0	0	214000000	0	0	0	0	0	0
16	63	0	26	0	4	4	1000000	0	12000000	0	0	0	0	0	703000000	3000000	0	0	0	0
17	64	0	0	0	16	5	1000000	0	106000000	0	0	0	0	0	10000000	1258000000	0	0	0	0
18	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21000000	0	0	0
