OBJECTID	VALUE	VALUE_21	VALUE_22	VALUE_23	VALUE_24	VALUE_31	VALUE_32	VALUE_33	VALUE_41	VALUE_42	VALUE_43	VALUE_46	VALUE_51	VALUE_52	VALUE_53	VALUE_61	VALUE_63	VALUE_64	VALUE_65	VALUE_66	VALUE_121	VALUE_122	VALUE_123
1	12	4	0	0	3	455	1772	4	0	0	0	0	5	1	0	0	0	23	0	0	18	58	2015
2	21	13736	0	0	0	20	20	3	0	0	0	0	0	2	0	0	0	2	0	0	1	0	10
3	22	1	238	2	0	5	2	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	8
4	23	6	0	1917	0	11	18	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	12
5	24	0	0	0	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	31	38	2	12	1	17114	40	21	1	12	0	1	14	14	0	1	0	10	0	35	56	6	906
7	32	24	1	5	2	51	15223	17	0	3	0	0	15	13	0	2	8	9	1	0	2	57	299
8	33	0	1	0	0	1	35	2247	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11
9	41	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	42	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0
11	43	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
12	46	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0
13	51	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0
14	52	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0
15	53	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
16	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0
17	63	0	0	0	0	3	34	0	0	1	0	0	0	0	0	0	281	3	0	0	0	0	0
18	64	14	0	4	0	38	0	2	0	7	0	0	1	0	0	0	0	2825	0	0	0	0	30
19	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0
