OBJECTID,VALUE,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_46,VALUE_51,VALUE_52,VALUE_53,VALUE_61,VALUE_62,VALUE_63,VALUE_64,VALUE_65,VALUE_66,VALUE_121,VALUE_122,VALUE_123
1,12,13000000.000000000000000,0.000000000000000,4000000.000000000000000,1000000.000000000000000,60000000.000000000000000,430000000.000000000000000,203000000.000000000000000,21000000.000000000000000,2000000.000000000000000,4000000.000000000000000,11000000.000000000000000,26000000.000000000000000,46000000.000000000000000,1000000.000000000000000,14000000.000000000000000,0.000000000000000,192000000.000000000000000,3000000.000000000000000,0.000000000000000,1000000.000000000000000,694000000.000000000000000,844000000.000000000000000,12248000000.000000000000000
2,21,1539000000.000000000000000,4000000.000000000000000,3000000.000000000000000,0.000000000000000,12000000.000000000000000,9000000.000000000000000,12000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,10000000.000000000000000
3,22,0.000000000000000,2049000000.000000000000000,0.000000000000000,0.000000000000000,11000000.000000000000000,10000000.000000000000000,32000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000
4,23,0.000000000000000,0.000000000000000,433000000.000000000000000,0.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
5,24,0.000000000000000,0.000000000000000,0.000000000000000,63000000.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
6,31,6000000.000000000000000,6000000.000000000000000,2000000.000000000000000,1000000.000000000000000,6426000000.000000000000000,550000000.000000000000000,109000000.000000000000000,7000000.000000000000000,0.000000000000000,1000000.000000000000000,8000000.000000000000000,6000000.000000000000000,8000000.000000000000000,0.000000000000000,9000000.000000000000000,0.000000000000000,7000000.000000000000000,0.000000000000000,0.000000000000000,7000000.000000000000000,0.000000000000000,0.000000000000000,77000000.000000000000000
7,32,10000000.000000000000000,3000000.000000000000000,1000000.000000000000000,1000000.000000000000000,27000000.000000000000000,9050000000.000000000000000,63000000.000000000000000,5000000.000000000000000,8000000.000000000000000,5000000.000000000000000,4000000.000000000000000,4000000.000000000000000,13000000.000000000000000,7000000.000000000000000,1000000.000000000000000,0.000000000000000,49000000.000000000000000,4000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,213000000.000000000000000
8,33,4000000.000000000000000,2000000.000000000000000,5000000.000000000000000,1000000.000000000000000,3000000.000000000000000,7000000.000000000000000,8607000000.000000000000000,0.000000000000000,1000000.000000000000000,3000000.000000000000000,14000000.000000000000000,0.000000000000000,9000000.000000000000000,0.000000000000000,10000000.000000000000000,1000000.000000000000000,41000000.000000000000000,4000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,1000000.000000000000000,80000000.000000000000000
9,41,2000000.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,10000000.000000000000000,6000000.000000000000000,138000000.000000000000000,1000000.000000000000000,0.000000000000000,61000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,27000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43000000.000000000000000
10,42,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5000000.000000000000000,19000000.000000000000000,19000000.000000000000000,0.000000000000000,226000000.000000000000000,1000000.000000000000000,20000000.000000000000000,0.000000000000000,5000000.000000000000000,0.000000000000000,6000000.000000000000000,0.000000000000000,3000000.000000000000000,36000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,28000000.000000000000000
