OBJECTID,VALUE,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_46,VALUE_51,VALUE_52,VALUE_53,VALUE_64,VALUE_65
1,21,1000000.000000000000000,67000000.000000000000000,27343000000.000000000000000,64000000.000000000000000,672000000.000000000000000,65000000.000000000000000,67000000.000000000000000,7000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,11000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,2000000.000000000000000,2000000.000000000000000,0.000000000000000
2,22,0.000000000000000,31000000.000000000000000,20000000.000000000000000,2668000000.000000000000000,50000000.000000000000000,2000000.000000000000000,17000000.000000000000000,4000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20000000.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000
3,23,0.000000000000000,12000000.000000000000000,91000000.000000000000000,6000000.000000000000000,4355000000.000000000000000,2000000.000000000000000,10000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4000000.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
4,24,0.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000,10000000.000000000000000,95000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
5,31,0.000000000000000,95000000.000000000000000,140000000.000000000000000,28000000.000000000000000,99000000.000000000000000,4000000.000000000000000,11274000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,54000000.000000000000000,6000000.000000000000000,0.000000000000000,2000000.000000000000000,3000000.000000000000000,25000000.000000000000000,0.000000000000000
6,32,0.000000000000000,29000000.000000000000000,2000000.000000000000000,9000000.000000000000000,0.000000000000000,0.000000000000000,5000000.000000000000000,795000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6000000.000000000000000,0.000000000000000
7,33,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
8,41,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,99000000.000000000000000,0.000000000000000,10000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
9,42,0.000000000000000,2000000.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,27000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
10,43,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,17000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
