OBJECTID,VALUE,VALUE_21,VALUE_22,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_46,VALUE_61,VALUE_62,VALUE_63,VALUE_64,VALUE_65,VALUE_66,VALUE_67
1,21,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
2,22,0.000000000000000,141000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
3,31,0.000000000000000,1000000.000000000000000,128341000000.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000,118000000.000000000000000,0.000000000000000,0.000000000000000,13000000.000000000000000,0.000000000000000,1000000.000000000000000,38000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000
4,32,0.000000000000000,1000000.000000000000000,1000000.000000000000000,203465000000.000000000000000,3000000.000000000000000,5000000.000000000000000,302000000.000000000000000,3000000.000000000000000,0.000000000000000,13000000.000000000000000,1000000.000000000000000,2000000.000000000000000,51000000.000000000000000,5000000.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000
5,33,0.000000000000000,0.000000000000000,7000000.000000000000000,3000000.000000000000000,198996000000.000000000000000,0.000000000000000,272000000.000000000000000,1000000.000000000000000,0.000000000000000,8000000.000000000000000,2000000.000000000000000,0.000000000000000,104000000.000000000000000,6000000.000000000000000,0.000000000000000,13000000.000000000000000,0.000000000000000
6,41,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,207000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
7,42,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,26923000000.000000000000000,0.000000000000000,0.000000000000000,109000000.000000000000000,0.000000000000000,0.000000000000000,166000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
8,43,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,58000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
9,44,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6910000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20000000.000000000000000,0.000000000000000
10,46,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,27000000.000000000000000,73000000.000000000000000,1000000.000000000000000,0.000000000000000,4023000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
11,61,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,36000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2446000000.000000000000000,0.000000000000000,6000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
12,62,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,150000000.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,21814000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000
13,63,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,360000000.000000000000000,10000000.000000000000000,0.000000000000000,12000000.000000000000000,2000000.000000000000000,1000000.000000000000000,15547000000.000000000000000,4000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
14,64,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,224000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4000000.000000000000000,1060000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
15,65,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,339000000.000000000000000,0.000000000000000,0.000000000000000
16,66,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,21000000.000000000000000,33000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,71617000000.000000000000000,0.000000000000000
17,67,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,29000000.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,1000000.000000000000000,1000000.000000000000000,98000000.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,18683000000.000000000000000
